ID,ESTIMATIVA,RESPOSTA,ERRO,ERRO_ACEITAVEL,ERRO < ERRO_ACEITAVEL,EPS,DELTA,SOMA_PESOS,T,K,TIME,,,"0,01",,DELTA,EPS
3,861550,0,861550,3222521,TRUE,"0,15","0,06",21483478,3,13,"5,71254",,,"0,06",,"0,06","0,15"
4,861550,0,861550,3222521,TRUE,"0,15","0,06",21483478,3,13,"5,71255",,,"0,06",,"0,06","0,15"
5,854484,0,854484,3222521,TRUE,"0,15","0,06",21483478,3,13,"5,71255",,,"0,07",,"0,06","0,15"
1,858366,0,858366,3222521,TRUE,"0,15","0,07",21483478,3,13,"5,71234",,,"0,07",,"0,07","0,15"
2,857198,0,857198,3222521,TRUE,"0,15","0,07",21483478,3,13,"5,71235",,,"0,07",,"0,07","0,15"
3,858520,0,858520,3222521,TRUE,"0,15","0,07",21483478,3,13,"5,71235",,,"0,07",,"0,07","0,15"
4,856176,0,856176,3222521,TRUE,"0,15","0,07",21483478,3,13,"5,71235",,,"0,07",,"0,07","0,15"
5,849950,0,849950,3222521,TRUE,"0,15","0,07",21483478,3,13,"5,71236",,,"0,08",,"0,07","0,15"
1,860624,0,860624,3222521,TRUE,"0,15","0,08",21483478,3,13,"5,74122",,,"0,08",,"0,08","0,15"
2,865721,0,865721,3222521,TRUE,"0,15","0,08",21483478,3,13,"5,74123",,,"0,08",,"0,08","0,15"
3,857798,0,857798,3222521,TRUE,"0,15","0,08",21483478,3,13,"5,74123",,,"0,08",,"0,08","0,15"
4,862404,0,862404,3222521,TRUE,"0,15","0,08",21483478,3,13,"5,74123",,,"0,08",,"0,08","0,15"
5,860651,0,860651,3222521,TRUE,"0,15","0,08",21483478,3,13,"5,74124",,,"0,09",,"0,08","0,15"
1,862136,0,862136,3222521,TRUE,"0,15","0,09",21483478,3,13,"5,8254",,,"0,09",,"0,09","0,15"
2,857068,0,857068,3222521,TRUE,"0,15","0,09",21483478,3,13,"5,82541",,,"0,09",,"0,09","0,15"
3,861481,0,861481,3222521,TRUE,"0,15","0,09",21483478,3,13,"5,82541",,,"0,09",,"0,09","0,15"
4,853103,0,853103,3222521,TRUE,"0,15","0,09",21483478,3,13,"5,82541",,,"0,09",,"0,09","0,15"
5,856884,0,856884,3222521,TRUE,"0,15","0,09",21483478,3,13,"5,82542",,,"0,1",,"0,09","0,15"
1,856832,0,856832,3222521,TRUE,"0,15","0,1",21483478,3,13,"5,72529",,,"0,1",,"0,1","0,15"
2,857406,0,857406,3222521,TRUE,"0,15","0,1",21483478,3,13,"5,7253",,,"0,1",,"0,1","0,15"
3,854383,0,854383,3222521,TRUE,"0,15","0,1",21483478,3,13,"5,7253",,,"0,1",,"0,1","0,15"
4,853678,0,853678,3222521,TRUE,"0,15","0,1",21483478,3,13,"5,72531",,,"0,1",,"0,1","0,15"
